Dataset,Biblioteca,N_imagens,Tempo_medio_ms,Std_ms,FPS,Memoria_pico_MB,Device,Faces_detectadas,Taxa_deteccao_media,Erros
BasePropr,OpenCV (Haar+HOG),205,377.56,316.39,2.65,93.35,CPU,638,3.11,0
LFW,OpenCV (Haar+HOG),300,8.46,1.72,118.2,0.24,CPU,326,1.09,0
BasePropr,Dlib (HOG),205,2951.97,1616.34,0.34,93.35,CPU,211,1.03,0
LFW,Dlib (HOG),300,13.85,0.7,72.2,0.24,CPU,309,1.03,0
BasePropr,DeepFace (VGG+RetinaFace),205,244.43,342.59,4.09,667.45,GPU,205,1.0,0
LFW,DeepFace (VGG+RetinaFace),300,114.75,4.42,8.71,29.64,GPU,393,1.31,0
