Dataset,Biblioteca,EER,FAR,FRR,Acuracia,Threshold_EER,TP,TN,FP,FN,Pares_validos,Pares_total
LFW,OpenCV (Haar+HOG),0.3718,0.3719,0.3718,0.6281,0.1953,1242,1231,729,735,3937,4000
LFW,Dlib (HOG),0.0173,0.0178,0.0173,0.9824,0.6433,1926,1933,35,34,3928,4000
LFW,DeepFace (VGG+RetinaFace),0.0695,0.0695,0.0695,0.9305,0.7497,1861,1861,139,139,4000,4000
BasePropr,OpenCV (Haar+HOG),0.4047,0.4049,0.4047,0.5952,0.1717,1168,1176,800,794,3938,4092
BasePropr,Dlib (HOG),0.0093,0.0093,0.0089,0.9909,0.5697,1779,1816,17,16,3628,4092
BasePropr,DeepFace (VGG+RetinaFace),0.0547,0.0547,0.0547,0.9453,0.7368,1934,1934,112,112,4092,4092
