Dataset,Biblioteca,N_imagens,Tempo_medio_ms,Std_ms,FPS,Memoria_pico_MB,Device,Faces_detectadas,Taxa_deteccao_media,Erros
BasePropr,OpenCV (Haar+HOG),205,399.62,420.26,2.5,,CPU,619,3.29,17
LFW,OpenCV (Haar+HOG),300,6.68,1.45,149.7,0.24,CPU,324,1.08,0
BasePropr,Dlib (HOG),205,4132.1,2483.14,0.24,,CPU,194,1.03,17
LFW,Dlib (HOG),300,18.98,0.72,52.69,0.24,CPU,315,1.05,0
BasePropr,DeepFace (VGG+RetinaFace),205,15404.36,2940.18,0.06,,CPU,188,1.0,17
LFW,DeepFace (VGG+RetinaFace),300,5870.82,3458.15,0.17,33.61,CPU,398,1.33,0
